latitude,longitude,elevation
49.24173,16.58124,266.9
49.21626,16.6161,249
49.21397,16.58167,237.4
49.21416,16.58184,238.5
49.21436,16.58168,238.5
49.21456,16.58184,239.7
49.21475,16.582,240.6
49.22834,16.62907,297.3
49.22972,16.62834,298.2
49.22957,16.62998,301.2
49.2263,16.62681,279.9
49.16985,16.57782,253.7
49.20739,16.68415,338.4
49.22371,16.57858,282.8
49.16955,16.56055,254.3
49.16987,16.57023,265.9
49.17031,16.57254,271.1
49.17145,16.57277,274
49.17228,16.57339,275
49.22481,16.55696,243.9
49.2182,16.51697,292
49.22054,16.53017,246.2
49.19432,16.61343,208.9
49.17002,16.56788,268.5
49.2323,16.59003,236.4
49.20906,16.66123,298.9
49.21925,16.55958,219.4
49.18922,16.53039,399.8
49.13012,16.65395,200
49.22142,16.56984,263.8
49.22019,16.56928,260.3
49.22048,16.56944,259.8
49.2188,16.58151,252.7
49.21863,16.58056,250
49.21844,16.58151,251.4
49.21844,16.58072,248.9
49.21824,16.58168,251.4
49.21795,16.58062,245.8
49.2179,16.58143,249.3
49.24326,16.5781,282
49.18415,16.59906,203
49.18565,16.60044,201.8
49.19478,16.61037,223.8
49.21764,16.57905,239.9
49.21705,16.57934,239.7
49.21859,16.57987,246.5
49.21896,16.57928,246.4
49.21839,16.5797,244.9
49.21876,16.5791,245.1
49.21819,16.57988,244.9
49.21856,16.57895,243.6
49.218,16.57971,244
49.17589,16.60553,200.8
49.18098,16.68971,279.8
49.21649,16.62866,242.4
49.17309,16.59529,225.1
49.17325,16.59584,221.6
49.204,16.68481,320.5
49.19293,16.60904,225.6
49.24832,16.5747,304.4
49.24293,16.58635,250.2
49.24669,16.5757,296.7
49.18048,16.59846,208.5
49.18024,16.59814,209
49.17803,16.59775,209.8
49.17971,16.59765,210.8
49.19543,16.54142,346.5
49.16596,16.57823,235.5
49.22611,16.55714,249.8
49.22469,16.55973,241.7
49.22589,16.55844,245.7
49.18184,16.65683,241.3
49.21959,16.57525,242.7
49.21983,16.57448,244.1
49.21963,16.57464,242.5
49.21938,16.57448,240.7
49.20362,16.66748,273.2
49.24872,16.57565,302.7
49.24258,16.58065,271.4
49.24208,16.58065,271.5
49.20649,16.54882,238.2
49.2229,16.6273,262
49.12957,16.65215,196.9
49.13007,16.65263,198
49.19137,16.65665,243.5
49.19075,16.65862,244.8
49.22109,16.55279,217.3
49.16546,16.57259,235.6
49.17306,16.59474,227.2
49.1653,16.5766,227.2
49.19256,16.60629,236.7
49.19363,16.62344,201.8
49.20515,16.66937,280.3
49.20538,16.66836,279.9
49.17496,16.55146,270.1
49.20727,16.54745,242.3
49.1965,16.62325,201.6
49.22645,16.62525,278.8
49.20517,16.67546,287.4
49.24848,16.57521,303.2
49.20865,16.68999,332.5
49.21548,16.52029,258.4
49.21147,16.59618,234.7
49.16868,16.57112,255
49.16932,16.57412,257
49.21429,16.59355,239.9
49.21462,16.59481,237.8
49.22371,16.57858,282.8
49.21558,16.50129,337.7
49.21692,16.57438,225.5
49.21708,16.57475,228
49.22632,16.62121,266.6
49.18912,16.64516,214.5
49.19822,16.53113,389.2
49.167,16.58679,247.6
49.8269,18.19237,238
49.16842,16.58678,252.2
49.22241,16.5492,229.4
49.22234,16.55138,225.4
49.19255,16.53605,354.9
49.22536,16.55638,247.7
49.17267,16.5802,272.3
49.24471,16.5715,261.4
49.24514,16.56998,260.4
49.22837,16.62326,284.8
49.20277,16.65707,292.8
49.23025,16.61998,292.5
49.22736,16.52192,244
49.20276,16.65982,291.4
49.19354,16.5405,350.8
49.20546,16.66395,286.9
49.223,16.52188,259.5
49.18035,16.59381,217.3
49.20727,16.6585,298.7
49.20493,16.66844,278.4
49.20556,16.67105,292.2
49.16936,16.56425,263.6
49.18301,16.60006,205.7
49.2216,16.5248,254.2
49.22221,16.52874,232.3
49.21602,16.5823,245
49.21539,16.58593,248.9
49.21513,16.58466,247
49.21558,16.58521,248.9
49.21579,16.58436,248.5
49.21595,16.58544,249.7
49.21548,16.58365,246.1
49.20044,16.53281,386
49.21927,16.56895,256.1
49.22614,16.55268,260
49.17746,16.59827,209.4
49.21999,16.57274,242.9
49.21948,16.57237,242.2
